"surface","key","english_source","current_translation","suggested_translation","placeholders","notes"
"web-app","install.add","Add to Home Screen","Legg til på Hjemme-skjerm","","",""
"web-app","install.dismiss","Dismiss","Ikke nå","","",""
"web-app","install.iosHint","Install: tap the Share icon, then “Add to Home Screen.”","Installer: trykk på Del-ikonet og deretter «Legg til på Hjem-skjerm».","","",""
"web-app","getApp.betaLineTop","Try the beta on","","","",""
"web-app","getApp.betaBrand","TestFlight","","","",""
"web-app","getApp.betaAria","Join the 8nOut beta on TestFlight","","","",""
"web-app","getApp.appStoreAria","Download 8nOut on the App Store","","","",""
"web-app","getApp.openWebApp","Open the web app","","","",""
"web-app","getApp.installPwa","Install 8nOut","","","",""
"web-app","getApp.qrHint","Scan to get it on your phone","","","",""
"web-app","getApp.chipTitle","Get 8nOut on iPhone","","","",""
"web-app","getApp.chipSubBeta","One-tap invites & game alerts","","","",""
"web-app","getApp.chipSubLaunch","Free on the App Store","","","",""
"web-app","getApp.chipCta","Get","","","",""
"web-app","getApp.chipDismiss","Dismiss","","","",""
"web-app","map.allCountries","All countries","Alle land","","",""
"web-app","map.allCities","All cities","Alle byer","","",""
"web-app","map.viewClub","{name} — view club","{name} — se klubb","","{name}",""
"web-app","map.letsConnect","Let's connect","La oss koble oss sammen","","",""
"web-app","map.playersHere","Players here","Spillere her","","",""
"web-app","map.rosterEmpty","Players who add this club appear here.","Spillere som legger til denne klubben, vises her.","","",""
"web-app","map.rosterFailed","Couldn't load who's here.","","","",""
"web-app","map.reportVenue","Report venue","","","",""
"web-app","map.venueReported","Thanks — we'll review this venue.","","","",""
"web-app","connections.title","Connections","Kontakter","","",""
"web-app","connections.searchPlaceholder","Find players by name","Finn spillere på navn","","",""
"web-app","connections.connected","Connected","Tilkoblet","","",""
"web-app","connections.requested","Requested","Forespurt","","",""
"web-app","connections.respond","Respond","Svar","","",""
"web-app","connections.requests","Requests","Forespørsler","","",""
"web-app","connections.connectedHeading","Connected","Tilkoblet","","",""
"web-app","connections.empty","No connections yet. Find players on the map.","Ingen kontakter ennå. Finn spillere på kartet.","","",""
"web-app","connections.invite","Invite to play","Inviter til spill","","",""
"web-app","connections.inviteTitle","Invite {name} to play","Inviter {name} til spill","","{name}",""
"web-app","connections.sendInvite","Send invite","Send invitasjon","","",""
"web-app","connections.inviteSent","Invite sent.","Invitasjon sendt.","","",""
"web-app","connections.requestSent","Request sent.","Forespørsel sendt.","","",""
"web-app","connections.requestFailed","Couldn't send the request. Try again.","","","",""
"web-app","connections.recordLabel","Record:","Statistikk:","","",""
"web-app","connections.h2h","Head-to-head with you","Innbyrdes mot deg","","",""
"web-app","connections.h2hSub","{count} {noun} · last played {date}","{count} {noun} · sist spilt {date}","","{count}; {date}; {noun}",""
"web-app","connections.fargoLabel","Fargo Rating:","Fargo Rating:","","",""
"web-app","connections.verify","Verify","Sjekk","","",""
"web-app","search.title","Find players","Finn spillere","","",""
"web-app","search.morePlayers","More players","Flere spillere","","",""
"web-app","search.noMatch","No players match ""{q}""","Fant ingen spillere for «{q}»","","{q}",""
"web-app","search.noMatchSub","Check the spelling, or invite them with your connect code.","Sjekk stavemåten, eller inviter dem med tilkoblingskoden din.","","",""
"web-app","search.loadError","Couldn't load players","Kunne ikke laste spillere","","",""
"web-app","search.loadErrorSub","Check your connection and try again.","Sjekk internettforbindelsen din og prøv igjen.","","",""
"web-app","search.showMyCode","Show my connect code","Vis tilkoblingskoden min","","",""
"web-app","h2h.youLead","You lead {a}–{b}","Du leder {a}–{b}","","{a}; {b}",""
"web-app","h2h.theyLead","{name} leads {a}–{b}","{name} leder {a}–{b}","","{a}; {b}; {name}",""
"web-app","h2h.allSquare","All square, {a}–{b}","Likt, {a}–{b}","","{a}; {b}",""
"web-app","cuescore.viewProfile","View CueScore profile","Se CueScore-profil","","",""
"web-app","cuescore.heading","CueScore","CueScore","","",""
"web-app","cuescore.linkedCaption","Your CueScore profile is linked.","CueScore-profilen din er tilknyttet.","","",""
"web-app","cuescore.linkCaption","Link your CueScore profile to bring across your name and photo.","Koble til CueScore-profilen din for å hente inn navn og bilde.","","",""
"web-app","cuescore.unlink","Unlink CueScore profile","Koble fra CueScore-profilen","","",""
"web-app","cuescore.unlinkTitle","Unlink your CueScore profile?","Koble fra CueScore-profilen din?","","",""
"web-app","cuescore.unlinkConfirm","Unlink","Koble fra","","",""
"web-app","cuescore.unlinkError","Couldn't unlink right now. Try again.","Klarte ikke å koble fra akkurat nå. Prøv igjen.","","",""
"web-app","cuescore.errorInvalidInput","That doesn't look like a CueScore player ID or profile link.","Dette ser ikke ut som en CueScore-spiller-ID eller profillenke.","","",""
"web-app","cuescore.errorNotFound","No CueScore player found with that ID or profile link.","Fant ingen CueScore-spiller med den ID-en eller profillenken.","","",""
"web-app","cuescore.errorAlreadyLinked","That CueScore profile is already linked to another 8nOut account.","Denne CueScore-profilen er allerede koblet til en annen 8nOut-konto.","","",""
"web-app","cuescore.errorFailed","Couldn't link right now. Try again.","Klarte ikke å koble til akkurat nå. Prøv igjen.","","",""
"web-app","plays.at","Plays at","Spiller i","","",""
"web-app","contact.heading","Contact","Kontakt","","",""
"web-app","contact.call","Call {phone}","Ring {phone}","","{phone}",""
"web-app","contact.onlyConnections","Only visible to accepted connections.","Bare synlig for godkjente kontakter.","","",""
"web-app","contact.phoneLabel","Phone","Telefon","","",""
"web-app","contact.phoneHelp","For players who'd rather call or text. Shown only to accepted connections.","For spillere som heller vil ringe eller sende melding. Vises bare for godkjente kontakter.","","",""
"web-app","contact.ownNumber","This is my own phone number","Dette er mitt eget telefonnummer","","",""
"web-app","contact.visibilityHelp","Visible only to players whose connection you've accepted — never on your public profile or the website.","Bare synlig for spillere du har godkjent kontakt med — aldri på den offentlige profilen din eller nettstedet.","","",""
"web-app","contact.errSave","Couldn't save contact.","Klarte ikke å lagre kontaktinfo.","","",""
"web-app","schedule.today","Today","I dag","","",""
"web-app","schedule.now","Now","Nå","","",""
"web-app","schedule.option1","Option 1","Alternativ 1","","",""
"web-app","schedule.option2","Option 2","Alternativ 2","","",""
"web-app","schedule.addSecond","+ Add a second option","+ Legg til et alternativ til","","",""
"web-app","schedule.place","Place","Sted","","",""
"web-app","schedule.decideLater","Decide later","Bestem senere","","",""
"web-app","schedule.errPickTime","Pick at least one time.","Velg minst ett tidspunkt.","","",""
"web-app","challenges.title","Challenges","Utfordringer","","",""
"web-app","challenges.needsResponse","Needs your response","Venter på svar fra deg","","",""
"web-app","challenges.pickTimeSuffix","— pick a time","— velg tidspunkt","","",""
"web-app","challenges.acceptAt","Accept: {time}","Godta: {time}","","{time}",""
"web-app","challenges.suggestAnother","Suggest another time","Foreslå et annet tidspunkt","","",""
"web-app","challenges.waitingReply","Waiting for a reply","Venter på svar","","",""
"web-app","challenges.waitingFor","Waiting for {name} to reply","Venter på svar fra {name}","","{name}",""
"web-app","challenges.answered","Answered","Besvart","","",""
"web-app","challenges.resultPrompt","Did this game happen?","Ble denne kampen spilt?","","",""
"web-app","challenges.didntHappen","Didn't happen","Ble ikke spilt","","",""
"web-app","challenges.dismissBody","This deletes the game for both of you. Nothing is logged.","Dette sletter kampen for dere begge. Ingenting blir registrert.","","",""
"web-app","challenges.dismissConfirm","Delete game","Slett kampen","","",""
"web-app","challenges.withdraw","Withdraw invite","Trekk invitasjonen tilbake","","",""
"web-app","challenges.status.accepted","Accepted","Godtatt","","",""
"web-app","challenges.status.declined","Declined","Avslått","","",""
"web-app","challenges.status.expired","Expired","Utløpt","","",""
"web-app","challenges.empty","No active challenges yet. Invite a connection to play.","Ingen aktive utfordringer ennå. Inviter en kontakt til spill.","","",""
"web-app","challenges.lastPlayed","Last played","Sist spilt","","",""
"web-app","challenges.addCalendar","Add to calendar","Legg til i kalender","","",""
"web-app","challenges.googleCalendar","Google Calendar","Google Kalender","","",""
"web-app","challenges.counterTitle","Suggest another time to {name}","Foreslå et annet tidspunkt til {name}","","{name}",""
"web-app","challenges.send","Send","Send","","",""
"web-app","challenges.hide","Hide invite","Skjul invitasjonen","","",""
"web-app","challenges.unhide","Unhide","Vis igjen","","",""
"web-app","challenges.hiddenCount","Hidden ({count})","Skjult ({count})","","{count}",""
"web-app","challenges.hiddenNote","A hidden invite disappears on its own after a few days.","En skjult invitasjon forsvinner av seg selv etter noen dager.","","",""
"web-app","record.heading","Record","Statistikk","","",""
"web-app","record.recordLabel","Record","Statistikk","","",""
"web-app","record.showLess","Show less","Vis mindre","","",""
"web-app","record.seeAll","See all →","Se alle →","","",""
"web-app","record.form","Form","Form","","",""
"web-app","record.last5","Last 5","Siste 5","","",""
"web-app","record.winRate","Win rate","Seiersprosent","","",""
"web-app","record.winRateAria","Win rate {pct} percent","Seiersprosent {pct} prosent","","{pct}",""
"web-app","record.formAria","Last {count}, oldest to newest: {list}","Siste {count}, eldst til nyest: {list}","","{count}; {list}",""
"web-app","record.matchCountFull.one","1 match","1 kamp","","",""
"web-app","record.matchCountFull.other","{count} matches","{count} kamper","","{count}",""
"web-app","record.wonLast","Won your last {count}","Vunnet de siste {count}","","{count}",""
"web-app","record.lastPlayed","Last played {date}","Sist spilt {date}","","{date}",""
"web-app","record.lastPlayedSep"," · last played {date}"," · sist spilt {date}","","{date}",""
"web-app","record.viaCueScore","via CueScore","via CueScore","","",""
"web-app","record.youWon","You won","Du vant","","",""
"web-app","record.youLost","You lost","Du tapte","","",""
"web-app","record.oppWon","{name} won","{name} vant","","{name}",""
"web-app","record.logResult","Log result","Registrer resultat","","",""
"web-app","record.whoWon","Who won?","Hvem vant?","","",""
"web-app","record.yourScore","Your score (optional)","Din score (valgfritt)","","",""
"web-app","record.oppScore","{name}'s score","Scoren til {name}","","{name}",""
"web-app","record.importTitle","Import a CueScore match","Importer en CueScore-kamp","","",""
"web-app","record.matchImported","Match imported","Kamp importert","","",""
"web-app","record.matchLinkLabel","CueScore match link","CueScore-kamplenke","","",""
"web-app","record.matchLinkPlaceholder","…/match/?matchId=…","…/match/?matchId=…","","",""
"web-app","record.lookingUp","Looking up…","Slår opp…","","",""
"web-app","record.lookUp","Look up match","Slå opp kamp","","",""
"web-app","record.notYourMatch","This match isn't linked to your CueScore profile — you can only import your own matches.","Denne kampen er ikke koblet til CueScore-profilen din — du kan bare importere dine egne kamper.","","",""
"web-app","record.vsPrefix","vs","mot","","",""
"web-app","record.tableLabel","Table","Bord","","",""
"web-app","record.notFinished","This match isn't finished yet — finish it on CueScore first.","Denne kampen er ikke ferdig ennå — fullfør den på CueScore først.","","",""
"web-app","record.importing","Importing…","Importerer…","","",""
"web-app","record.importThis","Import this match","Importer denne kampen","","",""
"web-app","record.errNotFound","Couldn't find that match.","Fant ikke den kampen.","","",""
"web-app","record.errImport","Couldn't import that match.","Klarte ikke å importere den kampen.","","",""
"web-app","record.startsHere","Your record starts here","Statistikken din starter her","","",""
"web-app","record.emptyLinked","Import a finished CueScore match — every game counts, win or lose.","Importer en fullført CueScore-kamp — hver kamp teller, uansett om du vinner eller taper.","","",""
"web-app","record.emptyUnlinked","Link your CueScore profile to import your match results — every game counts, win or lose.","Koble til CueScore-profilen din for å importere resultatene dine — hver kamp teller, uansett om du vinner eller taper.","","",""
"web-app","record.importCta","Import a CueScore match","Importer en CueScore-kamp","","",""
"web-app","record.linkCta","Link CueScore to import results","Koble til CueScore for å importere resultater","","",""
"web-app","record.howItWorks","How importing works","Slik fungerer importen","","",""
"web-app","record.howTitle","How importing works","Slik fungerer importen","","",""
"web-app","record.howStep1","Finish your match on CueScore.","Fullfør kampen din på CueScore.","","",""
"web-app","record.howStep2","Open the match and copy its link.","Åpne kampen og kopier lenken.","","",""
"web-app","record.howStep3","Paste it here — 8nOut reads the final score and adds it to your record, win or lose.","Lim den inn her — 8nOut leser sluttresultatet og legger det til i statistikken din, uansett om du vinner eller taper.","","",""
"web-app","record.howFootnote","The opponent doesn't need to be on 8nOut. If they are, the match shows on their record too.","Motstanderen trenger ikke å være på 8nOut. Hvis de er det, vises kampen i statistikken deres også.","","",""
"web-app","discipline.onePocket","One Pocket","One Pocket","","",""
"web-app","scoreboard.entry.challenge","Start scoreboard","","","",""
"web-app","scoreboard.entry.logAlt","Already played? Log result","","","",""
"web-app","scoreboard.entry.connection","Start a live scoreboard","","","",""
"web-app","scoreboard.entry.connectionNote","Play right now, no scheduled challenge needed.","","","",""
"web-app","scoreboard.entry.rejoinChallenge","Rejoin scoreboard","","","",""
"web-app","scoreboard.entry.rejoinConnection","Rejoin the live scoreboard","","","",""
"web-app","scoreboard.entry.rejoinNote","{name} already started one.","","","{name}",""
"web-app","scoreboard.create.title","New scoreboard","","","",""
"web-app","scoreboard.create.raceTo","Race to {n}","","","{n}",""
"web-app","scoreboard.create.raceTo.hint","1–200","","","",""
"web-app","scoreboard.create.break","Break","","","",""
"web-app","scoreboard.create.alternate","Alternate","","","",""
"web-app","scoreboard.create.winnerBreaks","Winner breaks","","","",""
"web-app","scoreboard.create.firstBreaker","Who breaks first","","","",""
"web-app","scoreboard.create.whoBreaks.hint","Tap a name to start the match.","","","",""
"web-app","scoreboard.create.you","You","","","",""
"web-app","scoreboard.create.venue","Venue","","","",""
"web-app","scoreboard.create.venue.none","No venue","","","",""
"web-app","scoreboard.create.venue.emptyHint","No clubs saved yet — add one from your Profile","","","",""
"web-app","scoreboard.create.table","Table number (optional)","","","",""
"web-app","scoreboard.create.start","Start","","","",""
"web-app","scoreboard.flip","Flip for me","","","",""
"web-app","scoreboard.create.flip","Flip for me — starts the match","","","",""
"web-app","scoreboard.create.breaker.a11y.self","Start the match with you breaking first","","","",""
"web-app","scoreboard.create.breaker.a11y.opponent","Start the match with {name} breaking first","","","{name}",""
"web-app","scoreboard.create.breaker.a11y.flip","Flip a coin to decide who breaks, and start the match","","","",""
"web-app","scoreboard.status.pending","Pending","","","",""
"web-app","scoreboard.status.live","Live","","","",""
"web-app","scoreboard.rackOf","Rack {n} of race to {raceTo}","","","{n}; {raceTo}",""
"web-app","scoreboard.setScore.a11y.lead","You lead {mine} to {theirs} in racks. {balls} balls on the table.","","","{balls}; {mine}; {theirs}",""
"web-app","scoreboard.setScore.a11y.trail","You trail {mine} to {theirs} in racks. {balls} balls on the table.","","","{balls}; {mine}; {theirs}",""
"web-app","scoreboard.setScore.a11y.tie","You're tied {mine} to {theirs} in racks. {balls} balls on the table.","","","{balls}; {mine}; {theirs}",""
"web-app","scoreboard.rotatePrompt","Rotate for a bigger scoreboard","","","",""
"web-app","scoreboard.rotatePrompt.dismiss","Dismiss rotate suggestion","","","",""
"web-app","scoreboard.racksChip","Racks {n}","","","{n}",""
"web-app","scoreboard.onTable","on the table","","","",""
"web-app","scoreboard.toWinRack","of {target} to win rack","","","{target}",""
"web-app","scoreboard.breaking","Breaking","","","",""
"web-app","scoreboard.action.undo","Undo","","","",""
"web-app","scoreboard.action.switch","Switch","","","",""
"web-app","scoreboard.action.point","Point","","","",""
"web-app","scoreboard.action.oppPoint","Opp. pt","","","",""
"web-app","scoreboard.action.foul","Foul","","","",""
"web-app","scoreboard.timeout","Timeout","","","",""
"web-app","scoreboard.timeout.remaining","Timeout — {time} remaining","","","{time}",""
"web-app","scoreboard.timeout.over","Timeout — {time} over","","","{time}",""
"web-app","scoreboard.resume","Resume","","","",""
"web-app","scoreboard.finishMatch","Finish match","","","",""
"web-app","scoreboard.watching","{name} is keeping score — watching live","","","{name}",""
"web-app","scoreboard.finish.title","Confirm final result","","","",""
"web-app","scoreboard.finish.confirm","Make sure this is right before finishing.","","","",""
"web-app","scoreboard.finish.continuePlaying","Continue playing","","","",""
"web-app","scoreboard.recorded.self","Recorded by you","","","",""
"web-app","scoreboard.recorded.other","Recorded by {name}","","","{name}",""
"web-app","scoreboard.correct.self","Edit result","","","",""
"web-app","scoreboard.correct.other","Doesn't look right? Message {name}","","","{name}",""
"web-app","scoreboard.expired.title","This match wasn't finished","","","",""
"web-app","scoreboard.expired.body","No score was recorded before this session timed out. Nothing was saved to your record.","","","",""
"web-app","scoreboard.expired.startNew","Start a new scoreboard","","","",""
"web-app","scoreboard.expired.logManually","Log the result manually","","","",""
"web-app","scoreboard.stat.racksWon","Racks won","","","",""
"web-app","scoreboard.stat.winPct","Win %","","","",""
"web-app","scoreboard.stat.avgRack","Avg rack time","","","",""
"web-app","scoreboard.stat.breakWins","Break-and-wins","","","",""
"web-app","scoreboard.stat.racksStolen","Racks stolen","","","",""
"web-app","scoreboard.stat.timeouts","Timeouts","","","",""
"web-app","scoreboard.won","Won","","","",""
"web-app","scoreboard.lost","Lost","","","",""
"web-app","scoreboard.vsRaceTo","vs. {name} · One Pocket · race to {raceTo}","","","{name}; {raceTo}",""
"web-app","scoreboard.brokeRack","{name} broke","","","{name}",""
"web-app","scoreboard.close","Close","","","",""
"web-app","scoreboard.errorGeneric","Couldn't do that right now. Try again.","","","",""
"web-app","scoreboard.messageThreadReady","Opened your conversation — check the Chat tab to continue it.","","","",""
"web-app","scoreboard.postMatch.kicker","Match finished","","","",""
"web-app","scoreboard.postMatch.end","End","","","",""
"web-app","scoreboard.postMatch.startNewMatch","Start new match","","","",""
"web-app","scoreboard.postMatch.startNewMatch.a11y","Start a new match against {name}","","","{name}",""
"web-app","scoreboard.postMatch.spectatorNote","{name} kept score for this match","","","{name}",""
"web-app","scoreboard.postMatch.back","Back","","","",""
"web-app","profile.title","Profile","Profil","","",""
"web-app","profile.loading","Loading profile…","Laster profil…","","",""
"web-app","profile.changePhoto","Change photo","Endre bilde","","",""
"web-app","profile.openToPlay","Open to play","Klar for spill","","",""
"web-app","profile.notOpenNow","Not open right now","Ikke klar akkurat nå","","",""
"web-app","profile.connectNote","Connecting is how you swap contact details.","Ved å koble til utveksler dere kontaktinfo.","","",""
"web-app","profile.respondNote","{name} asked to connect with you.","{name} vil koble seg til deg.","","{name}",""
"web-app","profile.bio","Bio","Bio","","",""
"web-app","profile.bioEmpty","Add a short bio and your home town.","Legg til en kort bio og hjemstedet ditt.","","",""
"web-app","profile.fargoRating","Fargo Rating","Fargo Rating","","",""
"web-app","profile.ratingSelfReported","{rating} · self-reported","{rating} · egenrapportert","","{rating}",""
"web-app","profile.notSet","Not set","Ikke angitt","","",""
"web-app","profile.clubsUpTo3","Up to 3 clubs.","Opptil 3 klubber.","","",""
"web-app","profile.miniUnavailable","This player's profile isn't available.","Profilen til denne spilleren er ikke tilgjengelig.","","",""
"web-app","clubs.heading","Clubs","Biljardklubber","","",""
"web-app","clubs.none","No clubs yet.","Ingen biljardklubber ennå.","","",""
"web-app","clubs.add","+ Add a club","+ Legg til biljardklubb","","",""
"web-app","clubs.addTitle","Add a club","Legg til biljardklubb","","",""
"web-app","clubs.searchLabel","Search pool rooms","Søk biljardklubb","","",""
"web-app","clubs.searchPlaceholder","Club name","Klubbnavn","","",""
"web-app","clubs.noMatch","No matching clubs.","Ingen match på klubber.","","",""
"web-app","clubs.cantFind","Can't find it? Add a new venue","","","",""
"web-app","clubs.newTitle","New venue","","","",""
"web-app","clubs.nameLabel","Name","","","",""
"web-app","clubs.addressLabel","Address","","","",""
"web-app","clubs.addressPlaceholder","Street, city, country","","","",""
"web-app","clubs.submitForReview","Submit for review","","","",""
"web-app","clubs.submitting","Checking the address…","","","",""
"web-app","clubs.submitAnyway","None of these — submit anyway","","","",""
"web-app","clubs.didYouMean","Did you mean?","","","",""
"web-app","clubs.suggest.title","Already on 8nOut?","Allerede på 8nOut?","","",""
"web-app","clubs.suggest.hint","Pick your club and it's added straight away — only a new venue needs review.","Velg klubben din, så er den lagt til med en gang — bare en ny klubb går til vurdering.","","",""
"web-app","clubs.backToSearch","Back to search","","","",""
"web-app","clubs.submittedPending","Submitted for review — it appears on the map once approved.","Sendt inn til vurdering — når den er godkjent, vises den på kartet.","","",""
"web-app","clubs.placedIn","Placed in {city}, {country}","","","{city}; {country}",""
"web-app","clubs.pendingReview","Pending review","Til vurdering","","",""
"web-app","clubs.rejected","Not approved","Ikke godkjent","","",""
"web-app","clubs.rejectedReason","Not approved — {reason}","","","{reason}",""
"web-app","clubs.err.geocoderUnavailable","Couldn't reach the address lookup right now — try again shortly.","","","",""
"web-app","clubs.err.submitFailed","Couldn't submit that venue. Please try again.","","","",""
"web-app","clubs.geo.typed.title","We couldn't place this address on the map","","","",""
"web-app","clubs.geo.typed.body","Check the address above — street, city and country — then submit again.","","","",""
"web-app","clubs.geo.sourced.title","We couldn't place this address on the map","","","",""
"web-app","clubs.geo.sourced.body","We filled this in from CueScore. Edit it above and submit again — change as much as you need.","","","",""
"web-app","clubs.geo.tried","What we looked up","","","",""
"web-app","clubs.geo.down.title","The address lookup is unavailable","","","",""
"web-app","clubs.geo.down.body","Nothing you typed is wrong — the problem is at our end.","","","",""
"web-app","clubs.confirm.title","Is that close enough?","","","",""
"web-app","clubs.confirm.body","We could only find the general area — add more detail if you can, or submit it as it is.","","","",""
"web-app","clubs.confirm.yes","Submit it as it is","","","",""
"web-app","clubs.confirm.no","Add more detail","","","",""
"web-app","clubs.cuescore.lead","Fastest way: paste the club's CueScore venue link — the one that ends in a number. Or add it manually below.","","","",""
"web-app","clubs.cuescore.urlPlaceholder","https://cuescore.com/venue/…","","","",""
"web-app","clubs.cuescore.urlLabel","CueScore venue link","","","",""
"web-app","clubs.cuescore.lookup","Look up","","","",""
"web-app","clubs.cuescore.looking","Reading…","","","",""
"web-app","clubs.cuescore.sourced","Sourced from CueScore","","","",""
"web-app","clubs.cuescore.matched","This club is already on 8nOut.","","","",""
"web-app","clubs.cuescore.addToClubs","Add to my clubs","","","",""
"web-app","clubs.cuescore.lookAnother","Look up another","","","",""
"web-app","clubs.cuescore.unavailable","That club can't be added from CueScore. Add it manually below.","","","",""
"web-app","clubs.cuescore.err.rate_limited","Too many CueScore lookups just now — try again later, or add it manually.","","","",""
"web-app","clubs.cuescore.err.bad_url","That link has no venue number in it. We need the club's CueScore venue page — the link ends in a number, like cuescore.com/venue/Club+Name/60451687. Or add it manually below.","","","",""
"web-app","clubs.cuescore.err.unreachable","Couldn't reach CueScore right now — try again shortly, or add it manually.","","","",""
"web-app","clubs.cuescore.err.forbidden","You can't add a club right now.","","","",""
"web-app","clubs.websiteLabel","Website (optional)","","","",""
"web-app","clubs.websitePlaceholder","https://mokumpool.nl","","","",""
"web-app","clubs.websiteHint","A website or Facebook page — either works.","","","",""
