"surface","key","english_source","current_translation","suggested_translation","placeholders","notes"
"web-app","onboarding.body","Pull in your name and photo so other One Pocket players recognise you. You can always do this later in Profile.","Importa il tuo nome e la tua foto così gli altri giocatori di One Pocket ti riconoscono. Puoi farlo anche più tardi dal Profilo.","","",""
"web-app","onboarding.field","CueScore player ID or profile link","ID giocatore CueScore o link al profilo","","",""
"web-app","onboarding.placeholder","1161837 or cuescore.com/player/…","1161837 o cuescore.com/player/…","","",""
"web-app","onboarding.skip","Skip for now","Salta per ora","","",""
"web-app","onboarding.linking","Linking…","Collegamento…","","",""
"web-app","onboarding.link","Link CueScore","Collega CueScore","","",""
"web-app","install.cta","Install 8nOut for one-tap access","Installa 8nOut per un accesso rapido","","",""
"web-app","install.add","Add to Home Screen","Aggiungi alla schermata Home","","",""
"web-app","install.dismiss","Dismiss","Ignora","","",""
"web-app","install.iosHint","Install: tap the Share icon, then “Add to Home Screen.”","Installa: tocca l'icona Condividi, poi “Aggiungi alla schermata Home”.","","",""
"web-app","getApp.betaLineTop","Try the beta on","Prova la beta su","","",""
"web-app","getApp.betaBrand","TestFlight","TestFlight","","",""
"web-app","getApp.betaAria","Join the 8nOut beta on TestFlight","Unisciti alla beta di 8nOut su TestFlight","","",""
"web-app","getApp.appStoreAria","Download 8nOut on the App Store","Scarica 8nOut sull'App Store","","",""
"web-app","getApp.openWebApp","Open the web app","Apri la web app","","",""
"web-app","getApp.installPwa","Install 8nOut","Installa 8nOut","","",""
"web-app","getApp.qrHint","Scan to get it on your phone","Scansiona per averla sul telefono","","",""
"web-app","getApp.chipTitle","Get 8nOut on iPhone","Scarica 8nOut su iPhone","","",""
"web-app","getApp.chipSubBeta","One-tap invites & game alerts","Inviti e avvisi di partita con un tocco","","",""
"web-app","getApp.chipSubLaunch","Free on the App Store","Gratis sull'App Store","","",""
"web-app","getApp.chipCta","Get","Scarica","","",""
"web-app","getApp.chipDismiss","Dismiss","Ignora","","",""
"web-app","map.allCountries","All countries","Tutti i paesi","","",""
"web-app","map.allCities","All cities","Tutte le città","","",""
"web-app","map.viewClub","{name} — view club","{name} — vedi club","","{name}",""
"web-app","map.letsConnect","Let's connect","Connettiamoci","","",""
"web-app","map.playersHere","Players here","Giocatori qui","","",""
"web-app","map.rosterEmpty","Players who add this club appear here.","Qui compaiono i giocatori che aggiungono questo club.","","",""
"web-app","map.rosterFailed","Couldn't load who's here.","Non è stato possibile caricare chi c'è.","","",""
"web-app","map.reportVenue","Report venue","Segnala il locale","","",""
"web-app","map.venueReported","Thanks — we'll review this venue.","Grazie — esamineremo questo locale.","","",""
"web-app","connections.title","Connections","Connessioni","","",""
"web-app","connections.searchPlaceholder","Find players by name","Cerca giocatori per nome","","",""
"web-app","connections.connected","Connected","Connesso","","",""
"web-app","connections.requested","Requested","Richiesto","","",""
"web-app","connections.respond","Respond","Rispondi","","",""
"web-app","connections.requests","Requests","Richieste","","",""
"web-app","connections.connectedHeading","Connected","Connessi","","",""
"web-app","connections.empty","No connections yet. Find players on the map.","Ancora nessuna connessione. Trova giocatori sulla mappa.","","",""
"web-app","connections.invite","Invite to play","Invita a giocare","","",""
"web-app","connections.inviteTitle","Invite {name} to play","Invita {name} a giocare","","{name}",""
"web-app","connections.sendInvite","Send invite","Invia invito","","",""
"web-app","connections.inviteSent","Invite sent.","Invito inviato.","","",""
"web-app","connections.requestSent","Request sent.","Richiesta inviata.","","",""
"web-app","connections.requestFailed","Couldn't send the request. Try again.","Non è stato possibile inviare la richiesta. Riprova.","","",""
"web-app","connections.recordLabel","Record:","Bilancio:","","",""
"web-app","connections.h2h","Head-to-head with you","Testa a testa con te","","",""
"web-app","connections.h2hSub","{count} {noun} · last played {date}","{count} {noun} · ultima il {date}","","{count}; {date}; {noun}",""
"web-app","connections.fargoLabel","Fargo Rating:","Fargo Rating:","","",""
"web-app","connections.verify","Verify","Verifica","","",""
"web-app","search.title","Find players","Trova giocatori","","",""
"web-app","search.morePlayers","More players","Altri giocatori","","",""
"web-app","search.noMatch","No players match ""{q}""","Nessun giocatore corrisponde a ""{q}""","","{q}",""
"web-app","search.noMatchSub","Check the spelling, or invite them with your connect code.","Controlla l'ortografia, oppure invitalo con il tuo codice di connessione.","","",""
"web-app","search.loadError","Couldn't load players","Non è stato possibile caricare i giocatori","","",""
"web-app","search.loadErrorSub","Check your connection and try again.","Controlla la tua connessione e riprova.","","",""
"web-app","search.showMyCode","Show my connect code","Mostra il mio codice di connessione","","",""
"web-app","h2h.youLead","You lead {a}–{b}","Sei in vantaggio {a}–{b}","","{a}; {b}",""
"web-app","h2h.theyLead","{name} leads {a}–{b}","{name} è in vantaggio {a}–{b}","","{a}; {b}; {name}",""
"web-app","h2h.allSquare","All square, {a}–{b}","Pari, {a}–{b}","","{a}; {b}",""
"web-app","cuescore.viewProfile","View CueScore profile","Vedi profilo CueScore","","",""
"web-app","cuescore.heading","CueScore","CueScore","","",""
"web-app","cuescore.linkedCaption","Your CueScore profile is linked.","Il tuo profilo CueScore è collegato.","","",""
"web-app","cuescore.linkCaption","Link your CueScore profile to bring across your name and photo.","Collega il tuo profilo CueScore per importare il tuo nome e la tua foto.","","",""
"web-app","cuescore.unlink","Unlink CueScore profile","Scollega profilo CueScore","","",""
"web-app","cuescore.unlinkTitle","Unlink your CueScore profile?","Scollegare il tuo profilo CueScore?","","",""
"web-app","cuescore.unlinkConfirm","Unlink","Scollega","","",""
"web-app","cuescore.unlinkError","Couldn't unlink right now. Try again.","Non è stato possibile scollegare in questo momento. Riprova.","","",""
"web-app","cuescore.errorInvalidInput","That doesn't look like a CueScore player ID or profile link.","Non sembra un ID giocatore o un link al profilo CueScore.","","",""
"web-app","cuescore.errorNotFound","No CueScore player found with that ID or profile link.","Non è stato trovato nessun giocatore CueScore con quell'ID o link al profilo.","","",""
"web-app","cuescore.errorAlreadyLinked","That CueScore profile is already linked to another 8nOut account.","Quel profilo CueScore è già collegato a un altro account 8nOut.","","",""
"web-app","cuescore.errorFailed","Couldn't link right now. Try again.","Non è stato possibile collegare in questo momento. Riprova.","","",""
"web-app","plays.at","Plays at","Gioca al","","",""
"web-app","contact.heading","Contact","Contatto","","",""
"web-app","contact.call","Call {phone}","Chiama {phone}","","{phone}",""
"web-app","contact.onlyConnections","Only visible to accepted connections.","Visibile solo alle connessioni accettate.","","",""
"web-app","contact.phoneLabel","Phone","Telefono","","",""
"web-app","contact.phoneHelp","For players who'd rather call or text. Shown only to accepted connections.","Per i giocatori che preferiscono chiamare o scrivere. Visibile solo alle connessioni accettate.","","",""
"web-app","contact.ownNumber","This is my own phone number","Questo è il mio numero di telefono","","",""
"web-app","contact.visibilityHelp","Visible only to players whose connection you've accepted — never on your public profile or the website.","Visibile solo ai giocatori la cui connessione hai accettato — mai sul tuo profilo pubblico o sul sito.","","",""
"web-app","contact.errSave","Couldn't save contact.","Non è stato possibile salvare il contatto.","","",""
"web-app","schedule.today","Today","Oggi","","",""
"web-app","schedule.now","Now","Ora","","",""
"web-app","schedule.option1","Option 1","Opzione 1","","",""
"web-app","schedule.option2","Option 2","Opzione 2","","",""
"web-app","schedule.addSecond","+ Add a second option","+ Aggiungi una seconda opzione","","",""
"web-app","schedule.place","Place","Luogo","","",""
"web-app","schedule.decideLater","Decide later","Decidere più tardi","","",""
"web-app","schedule.errPickTime","Pick at least one time.","Scegli almeno un orario.","","",""
"web-app","challenges.title","Challenges","Sfide","","",""
"web-app","challenges.needsResponse","Needs your response","Richiede una tua risposta","","",""
"web-app","challenges.pickTimeSuffix","— pick a time","— scegli un orario","","",""
"web-app","challenges.acceptAt","Accept: {time}","Accetta: {time}","","{time}",""
"web-app","challenges.suggestAnother","Suggest another time","Proponi un altro orario","","",""
"web-app","challenges.waitingReply","Waiting for a reply","In attesa di risposta","","",""
"web-app","challenges.waitingFor","Waiting for {name} to reply","In attesa che {name} risponda","","{name}",""
"web-app","challenges.answered","Answered","Risposto","","",""
"web-app","challenges.resultPrompt","Did this game happen?","Questa partita si è giocata?","","",""
"web-app","challenges.didntHappen","Didn't happen","Non si è giocata","","",""
"web-app","challenges.dismissBody","This deletes the game for both of you. Nothing is logged.","Questo elimina la partita per entrambi. Non viene registrato nulla.","","",""
"web-app","challenges.dismissConfirm","Delete game","Elimina partita","","",""
"web-app","challenges.withdraw","Withdraw invite","Ritira invito","","",""
"web-app","challenges.status.accepted","Accepted","Accettato","","",""
"web-app","challenges.status.declined","Declined","Rifiutato","","",""
"web-app","challenges.status.expired","Expired","Scaduto","","",""
"web-app","challenges.empty","No active challenges yet. Invite a connection to play.","Ancora nessuna sfida attiva. Invita una connessione a giocare.","","",""
"web-app","challenges.lastPlayed","Last played","Ultima partita","","",""
"web-app","challenges.addCalendar","Add to calendar","Aggiungi al calendario","","",""
"web-app","challenges.googleCalendar","Google Calendar","Google Calendar","","",""
"web-app","challenges.counterTitle","Suggest another time to {name}","Proponi un altro orario a {name}","","{name}",""
"web-app","challenges.send","Send","Invia","","",""
"web-app","challenges.hide","Hide invite","Nascondi invito","","",""
"web-app","challenges.unhide","Unhide","Mostra di nuovo","","",""
"web-app","challenges.hiddenCount","Hidden ({count})","Nascosti ({count})","","{count}",""
"web-app","challenges.hiddenNote","A hidden invite disappears on its own after a few days.","Un invito nascosto scompare da solo dopo qualche giorno.","","",""
"web-app","record.heading","Record","Bilancio","","",""
"web-app","record.recordLabel","Record","Bilancio","","",""
"web-app","record.showLess","Show less","Mostra meno","","",""
"web-app","record.seeAll","See all →","Vedi tutto →","","",""
"web-app","record.form","Form","Forma","","",""
"web-app","record.last5","Last 5","Ultime 5","","",""
"web-app","record.winRate","Win rate","Percentuale di vittorie","","",""
"web-app","record.winRateAria","Win rate {pct} percent","Percentuale di vittorie: {pct} per cento","","{pct}",""
"web-app","record.formAria","Last {count}, oldest to newest: {list}","Ultime {count}, dalla più vecchia alla più recente: {list}","","{count}; {list}",""
"web-app","record.matchCountFull.one","1 match","1 partita","","",""
"web-app","record.matchCountFull.other","{count} matches","{count} partite","","{count}",""
"web-app","record.wonLast","Won your last {count}","Hai vinto le tue ultime {count}","","{count}",""
"web-app","record.lastPlayed","Last played {date}","Ultima partita il {date}","","{date}",""
"web-app","record.lastPlayedSep"," · last played {date}"," · ultima partita il {date}","","{date}",""
"web-app","record.viaCueScore","via CueScore","via CueScore","","",""
"web-app","record.youWon","You won","Hai vinto","","",""
"web-app","record.youLost","You lost","Hai perso","","",""
"web-app","record.oppWon","{name} won","{name} ha vinto","","{name}",""
"web-app","record.logResult","Log result","Registra risultato","","",""
"web-app","record.whoWon","Who won?","Chi ha vinto?","","",""
"web-app","record.yourScore","Your score (optional)","Il tuo punteggio (facoltativo)","","",""
"web-app","record.oppScore","{name}'s score","Punteggio di {name}","","{name}",""
"web-app","record.importTitle","Import a CueScore match","Importa una partita da CueScore","","",""
"web-app","record.matchImported","Match imported","Partita importata","","",""
"web-app","record.matchLinkLabel","CueScore match link","Link della partita CueScore","","",""
"web-app","record.matchLinkPlaceholder","…/match/?matchId=…","…/match/?matchId=…","","",""
"web-app","record.lookingUp","Looking up…","Ricerca…","","",""
"web-app","record.lookUp","Look up match","Cerca partita","","",""
"web-app","record.notYourMatch","This match isn't linked to your CueScore profile — you can only import your own matches.","Questa partita non è collegata al tuo profilo CueScore — puoi importare solo le tue partite.","","",""
"web-app","record.vsPrefix","vs","vs","","",""
"web-app","record.tableLabel","Table","Tavolo","","",""
"web-app","record.notFinished","This match isn't finished yet — finish it on CueScore first.","Questa partita non è ancora finita — concludila prima su CueScore.","","",""
"web-app","record.importing","Importing…","Importazione…","","",""
"web-app","record.importThis","Import this match","Importa questa partita","","",""
"web-app","record.errNotFound","Couldn't find that match.","Non è stata trovata quella partita.","","",""
"web-app","record.errImport","Couldn't import that match.","Non è stato possibile importare quella partita.","","",""
"web-app","record.startsHere","Your record starts here","Il tuo bilancio inizia qui","","",""
"web-app","record.emptyLinked","Import a finished CueScore match — every game counts, win or lose.","Importa una partita conclusa da CueScore — ogni partita conta, che tu vinca o perda.","","",""
"web-app","record.emptyUnlinked","Link your CueScore profile to import your match results — every game counts, win or lose.","Collega il tuo profilo CueScore per importare i risultati delle tue partite — ogni partita conta, che tu vinca o perda.","","",""
"web-app","record.importCta","Import a CueScore match","Importa una partita di CueScore","","",""
"web-app","record.linkCta","Link CueScore to import results","Collega CueScore per importare i risultati","","",""
"web-app","record.howItWorks","How importing works","Come funziona l'importazione","","",""
"web-app","record.howTitle","How importing works","Come funziona l'importazione","","",""
"web-app","record.howStep1","Finish your match on CueScore.","Concludi la tua partita su CueScore.","","",""
"web-app","record.howStep2","Open the match and copy its link.","Apri la partita e copia il link.","","",""
"web-app","record.howStep3","Paste it here — 8nOut reads the final score and adds it to your record, win or lose.","Incollalo qui — 8nOut legge il punteggio finale e lo aggiunge al tuo bilancio, che tu vinca o perda.","","",""
"web-app","record.howFootnote","The opponent doesn't need to be on 8nOut. If they are, the match shows on their record too.","L'avversario non deve necessariamente essere su 8nOut. Se lo è, la partita compare anche nel suo bilancio.","","",""
"web-app","discipline.onePocket","One Pocket","One Pocket","","",""
"web-app","scoreboard.entry.challenge","Start scoreboard","Avvia tabellone","","",""
"web-app","scoreboard.entry.logAlt","Already played? Log result","Avete già giocato? Registra il risultato","","",""
"web-app","scoreboard.entry.connection","Start a live scoreboard","Avvia un tabellone dal vivo","","",""
"web-app","scoreboard.entry.connectionNote","Play right now, no scheduled challenge needed.","Giocate subito, senza bisogno di programmare una sfida.","","",""
"web-app","scoreboard.entry.rejoinChallenge","Rejoin scoreboard","Torna al tabellone","","",""
"web-app","scoreboard.entry.rejoinConnection","Rejoin the live scoreboard","Torna al tabellone dal vivo","","",""
"web-app","scoreboard.entry.rejoinNote","{name} already started one.","{name} ne ha già avviato uno.","","{name}",""
"web-app","scoreboard.create.title","New scoreboard","Nuovo tabellone","","",""
"web-app","scoreboard.create.raceTo","Race to {n}","Race al {n}","","{n}",""
"web-app","scoreboard.create.raceTo.hint","1–200","1–200","","",""
"web-app","scoreboard.create.break","Break","Rottura","","",""
"web-app","scoreboard.create.alternate","Alternate","Alternata","","",""
"web-app","scoreboard.create.winnerBreaks","Winner breaks","Vince chi rompe","","",""
"web-app","scoreboard.create.firstBreaker","Who breaks first","Chi rompe per primo","","",""
"web-app","scoreboard.create.whoBreaks.hint","Tap a name to start the match.","Tocca un nome per iniziare la partita.","","",""
"web-app","scoreboard.create.you","You","Tu","","",""
"web-app","scoreboard.create.venue","Venue","Locale","","",""
"web-app","scoreboard.create.venue.none","No venue","Nessun locale","","",""
"web-app","scoreboard.create.venue.emptyHint","No clubs saved yet — add one from your Profile","Non hai ancora salvato nessun club — aggiungine uno dal tuo Profilo","","",""
"web-app","scoreboard.create.table","Table number (optional)","Numero del tavolo (facoltativo)","","",""
"web-app","scoreboard.create.start","Start","Inizia","","",""
"web-app","scoreboard.flip","Flip for me","Lancia la monetina","","",""
"web-app","scoreboard.create.flip","Flip for me — starts the match","Lancia la monetina — avvia la partita","","",""
"web-app","scoreboard.create.breaker.a11y.self","Start the match with you breaking first","Avvia la partita con te alla rottura","","",""
"web-app","scoreboard.create.breaker.a11y.opponent","Start the match with {name} breaking first","Avvia la partita con {name} alla rottura","","{name}",""
"web-app","scoreboard.create.breaker.a11y.flip","Flip a coin to decide who breaks, and start the match","Lancia una monetina per decidere chi rompe, e avvia la partita","","",""
"web-app","scoreboard.status.pending","Pending","In attesa","","",""
"web-app","scoreboard.status.live","Live","Dal vivo","","",""
"web-app","scoreboard.rackOf","Rack {n} of race to {raceTo}","Rack {n} della race al {raceTo}","","{n}; {raceTo}",""
"web-app","scoreboard.setScore.a11y.lead","You lead {mine} to {theirs} in racks. {balls} balls on the table.","","","{balls}; {mine}; {theirs}",""
"web-app","scoreboard.setScore.a11y.trail","You trail {mine} to {theirs} in racks. {balls} balls on the table.","","","{balls}; {mine}; {theirs}",""
"web-app","scoreboard.setScore.a11y.tie","You're tied {mine} to {theirs} in racks. {balls} balls on the table.","","","{balls}; {mine}; {theirs}",""
"web-app","scoreboard.rotatePrompt","Rotate for a bigger scoreboard","Ruota lo schermo per un tabellone più grande","","",""
"web-app","scoreboard.rotatePrompt.dismiss","Dismiss rotate suggestion","Ignora il suggerimento di rotazione","","",""
"web-app","scoreboard.racksChip","Racks {n}","Rack {n}","","{n}",""
"web-app","scoreboard.onTable","on the table","sul tavolo","","",""
"web-app","scoreboard.toWinRack","of {target} to win rack","su {target} per vincere il rack","","{target}",""
"web-app","scoreboard.breaking","Breaking","Rottura","","",""
"web-app","scoreboard.action.undo","Undo","Annulla","","",""
"web-app","scoreboard.action.switch","Switch","Cambia","","",""
"web-app","scoreboard.action.point","Point","Punto","","",""
"web-app","scoreboard.action.oppPoint","Opp. pt","Punto avv.","","",""
"web-app","scoreboard.action.foul","Foul","Fallo","","",""
"web-app","scoreboard.timeout","Timeout","Time-out","","",""
"web-app","scoreboard.timeout.remaining","Timeout — {time} remaining","Time-out — mancano {time}","","{time}",""
"web-app","scoreboard.timeout.over","Timeout — {time} over","Time-out — {time} in più","","{time}",""
"web-app","scoreboard.resume","Resume","Riprendi","","",""
"web-app","scoreboard.finishMatch","Finish match","Termina partita","","",""
"web-app","scoreboard.watching","{name} is keeping score — watching live","{name} sta segnando il punteggio — in visione dal vivo","","{name}",""
"web-app","scoreboard.finish.title","Confirm final result","Conferma il risultato finale","","",""
"web-app","scoreboard.finish.confirm","Make sure this is right before finishing.","Assicurati che sia corretto prima di concludere.","","",""
"web-app","scoreboard.finish.continuePlaying","Continue playing","Continua a giocare","","",""
"web-app","scoreboard.recorded.self","Recorded by you","Registrato da te","","",""
"web-app","scoreboard.recorded.other","Recorded by {name}","Registrato da {name}","","{name}",""
"web-app","scoreboard.correct.self","Edit result","Modifica risultato","","",""
"web-app","scoreboard.correct.other","Doesn't look right? Message {name}","Non ti sembra corretto? Scrivi a {name}","","{name}",""
"web-app","scoreboard.expired.title","This match wasn't finished","Questa partita non è stata conclusa","","",""
"web-app","scoreboard.expired.body","No score was recorded before this session timed out. Nothing was saved to your record.","Non è stato registrato nessun punteggio prima che la sessione scadesse. Non è stato salvato nulla nel tuo bilancio.","","",""
"web-app","scoreboard.expired.startNew","Start a new scoreboard","Avvia un nuovo tabellone","","",""
"web-app","scoreboard.expired.logManually","Log the result manually","Registra il risultato manualmente","","",""
"web-app","scoreboard.stat.racksWon","Racks won","Rack vinti","","",""
"web-app","scoreboard.stat.winPct","Win %","% vittorie","","",""
"web-app","scoreboard.stat.avgRack","Avg rack time","Tempo medio a rack","","",""
"web-app","scoreboard.stat.breakWins","Break-and-wins","Vittorie di rottura","","",""
"web-app","scoreboard.stat.racksStolen","Racks stolen","Rack rubati","","",""
"web-app","scoreboard.stat.timeouts","Timeouts","Time-out","","",""
"web-app","scoreboard.won","Won","Vinta","","",""
"web-app","scoreboard.lost","Lost","Persa","","",""
"web-app","scoreboard.vsRaceTo","vs. {name} · One Pocket · race to {raceTo}","vs. {name} · One Pocket · race al {raceTo}","","{name}; {raceTo}",""
"web-app","scoreboard.brokeRack","{name} broke","Rottura di {name}","","{name}",""
"web-app","scoreboard.close","Close","Chiudi","","",""
"web-app","scoreboard.errorGeneric","Couldn't do that right now. Try again.","Non è stato possibile farlo in questo momento. Riprova.","","",""
"web-app","scoreboard.messageThreadReady","Opened your conversation — check the Chat tab to continue it.","La tua conversazione è stata aperta — controlla la scheda Chat per continuarla.","","",""
"web-app","scoreboard.postMatch.kicker","Match finished","","","",""
"web-app","scoreboard.postMatch.end","End","","","",""
"web-app","scoreboard.postMatch.startNewMatch","Start new match","","","",""
"web-app","scoreboard.postMatch.startNewMatch.a11y","Start a new match against {name}","","","{name}",""
"web-app","scoreboard.postMatch.spectatorNote","{name} kept score for this match","","","{name}",""
"web-app","scoreboard.postMatch.back","Back","","","",""
"web-app","profile.title","Profile","Profilo","","",""
"web-app","profile.loading","Loading profile…","Caricamento profilo…","","",""
"web-app","profile.changePhoto","Change photo","Cambia foto","","",""
"web-app","profile.openToPlay","Open to play","Disponibile a giocare","","",""
"web-app","profile.notOpenNow","Not open right now","Non disponibile ora","","",""
"web-app","profile.connectNote","Connecting is how you swap contact details.","Connettersi è il modo per scambiarsi i contatti.","","",""
"web-app","profile.respondNote","{name} asked to connect with you.","{name} ti ha chiesto di connettersi.","","{name}",""
"web-app","profile.bio","Bio","Bio","","",""
"web-app","profile.bioEmpty","Add a short bio and your home town.","Aggiungi una breve bio e la tua città.","","",""
"web-app","profile.fargoRating","Fargo Rating","Fargo Rating","","",""
"web-app","profile.ratingSelfReported","{rating} · self-reported","{rating} · autodichiarato","","{rating}",""
"web-app","profile.notSet","Not set","Non impostato","","",""
"web-app","profile.clubsUpTo3","Up to 3 clubs.","Fino a 3 club.","","",""
"web-app","profile.miniUnavailable","This player's profile isn't available.","Il profilo di questo giocatore non è disponibile.","","",""
"web-app","clubs.heading","Clubs","Club","","",""
"web-app","clubs.none","No clubs yet.","Ancora nessun club.","","",""
"web-app","clubs.add","+ Add a club","+ Aggiungi un club","","",""
"web-app","clubs.addTitle","Add a club","Aggiungi un club","","",""
"web-app","clubs.searchLabel","Search pool rooms","Cerca sale biliardo","","",""
"web-app","clubs.searchPlaceholder","Club name","Nome del club","","",""
"web-app","clubs.noMatch","No matching clubs.","Nessun club corrispondente.","","",""
"web-app","clubs.cantFind","Can't find it? Add a new venue","Non lo trovi? Aggiungi un nuovo locale","","",""
"web-app","clubs.newTitle","New venue","Nuovo locale","","",""
"web-app","clubs.nameLabel","Name","Nome","","",""
"web-app","clubs.addressLabel","Address","Indirizzo","","",""
"web-app","clubs.addressPlaceholder","Street, city, country","Via, città, paese","","",""
"web-app","clubs.submitForReview","Submit for review","Invia per la revisione","","",""
"web-app","clubs.submitting","Checking the address…","Verifica dell'indirizzo…","","",""
"web-app","clubs.submitAnyway","None of these — submit anyway","Nessuno di questi — invia comunque","","",""
"web-app","clubs.didYouMean","Did you mean?","Forse intendevi?","","",""
"web-app","clubs.suggest.title","Already on 8nOut?","Già su 8nOut?","","",""
"web-app","clubs.suggest.hint","Pick your club and it's added straight away — only a new venue needs review.","Scegli il tuo club e viene aggiunto subito — solo un nuovo locale va in revisione.","","",""
"web-app","clubs.backToSearch","Back to search","Torna alla ricerca","","",""
"web-app","clubs.submittedPending","Submitted for review — it appears on the map once approved.","Inviato per la revisione — appare sulla mappa una volta approvato.","","",""
"web-app","clubs.placedIn","Placed in {city}, {country}","Collocato a {city}, {country}","","{city}; {country}",""
"web-app","clubs.pendingReview","Pending review","In revisione","","",""
"web-app","clubs.rejected","Not approved","Non approvato","","",""
"web-app","clubs.rejectedReason","Not approved — {reason}","Non approvato — {reason}","","{reason}",""
